request_id,timestamp,model_version,prompt_version,query_category,retrieval_score,retrieval_success,tool_required,tool_selected_correctly,structured_output_valid,groundedness_score,correctness_score,human_pass,latency_seconds,input_tokens,output_tokens,cost_usd,failure_category
REQ-00001,2026-05-01 00:00:06,model_v1,prompt_v1,product_question,0.765,True,True,True,True,0.775,0.739,True,2.66,2452,192,0.0061,answer_quality_failure
REQ-00002,2026-05-01 00:53:11,model_v1,prompt_v1,technical_support,0.868,True,True,True,True,0.819,0.806,True,2.52,3384,736,0.0112,none
REQ-00003,2026-05-01 01:06:28,model_v1,prompt_v1,account,0.844,True,False,True,True,0.841,0.845,True,3.43,867,320,0.0037,none
REQ-00004,2026-05-01 01:12:48,model_v1,prompt_v1,technical_support,0.89,True,False,True,True,0.893,0.847,False,2.3,533,375,0.0033,none
REQ-00005,2026-05-01 01:22:19,model_v1,prompt_v1,account,0.755,True,False,True,True,0.735,0.891,True,2.39,1933,707,0.0081,none
REQ-00006,2026-05-01 01:45:40,model_v1,prompt_v1,product_question,0.821,True,True,True,True,0.837,0.801,False,3.66,2649,474,0.0081,none
REQ-00007,2026-05-01 01:58:41,model_v1,prompt_v1,account,0.538,False,False,True,True,0.696,0.651,False,2.79,1728,455,0.0062,retrieval_failure
REQ-00008,2026-05-01 02:06:52,model_v1,prompt_v1,account,0.677,True,True,True,True,0.715,0.816,True,3.65,597,475,0.004,none
REQ-00009,2026-05-01 02:07:11,model_v1,prompt_v1,technical_support,0.597,False,True,True,True,0.734,0.77,False,2.89,591,740,0.0056,retrieval_failure
REQ-00010,2026-05-01 02:16:48,model_v1,prompt_v1,technical_support,0.81,True,False,True,True,0.919,0.883,True,2.05,2856,667,0.0097,none
REQ-00011,2026-05-01 02:38:01,model_v1,prompt_v1,product_question,0.626,True,False,True,True,0.641,0.662,True,2.51,2745,483,0.0084,grounding_failure
REQ-00012,2026-05-01 02:39:51,model_v1,prompt_v1,technical_support,0.565,False,True,True,True,0.688,0.757,True,3.81,3137,775,0.0109,retrieval_failure
